__Item number__,__Cable part number__,__Source device description__,__Source label__,__Destination device description__,__Destination label__
17,ib-cable,Scalable server placed at U29 - slot 1 - Infiniband port 1,U29_S1_IB_P1,Infiniband switch placed at U44 - port 3,U44_P3
18,ib-cable,Scalable server placed at U29 - slot 3 - Infiniband port 1,U29_S3_IB_P1,Infiniband switch placed at U44 - port 4,U44_P4
19,ib-cable,Scalable server placed at U29 - slot 1 - Infiniband port 2,U29_S1_IB_P2,Infiniband switch placed at U45 - port 3,U45_P3
20,ib-cable,Scalable server placed at U29 - slot 3 - Infiniband port 2,U29_S3_IB_P2,Infiniband switch placed at U45 - port 4,U45_P4
21,fc-cable,Scalable server placed at U29 - slot 1 - FC port 1,U29_S1_FC_P1,SAN switch placed at U46 - FC port 5,U46_P5
22,fc-cable,Scalable server placed at U29 - slot 4 - FC port 1,U29_S4_FC_P1,SAN switch placed at U46 - FC port 6,U46_P6
23,fc-cable,Scalable server placed at U29 - slot 1 - FC port 2,U29_S1_FC_P2,SAN switch placed at U47 - FC port 5,U47_P5
24,fc-cable,Scalable server placed at U29 - slot 4 - FC port 2,U29_S4_FC_P2,SAN switch placed at U47 - FC port 6,U47_P6
25,RJ45,Scalable server placed at U29 - slot 1 - embedded port 1,U29_S1_EMB_P1,LAN switch placed at U49 - Ethernet port 3,U49_P3
26,RJ45,Scalable server placed at U29 - slot 1 - Ethernet port 1,U29_S1_ETH_P1,LAN switch placed at U49 - Ethernet port 4,U49_P4
27,RJ45,Scalable server placed at U29 - slot 3 - embedded port 1,U29_S3_EMB_P1,LAN switch placed at U49 - Ethernet port 5,U49_P5
28,RJ45,Scalable server placed at U29 - slot 4 - embedded port 1,U29_S4_EMB_P1,LAN switch placed at U49 - Ethernet port 6,U49_P6
29,RJ45,Scalable server placed at U29 - slot 1 - embedded port 2,U29_S1_EMB_P2,LAN switch placed at U50 - Ethernet port 3,U50_P3
30,RJ45,Scalable server placed at U29 - slot 1 - Ethernet port 2,U29_S1_ETH_P2,LAN switch placed at U50 - Ethernet port 4,U50_P4
31,RJ45,Scalable server placed at U29 - slot 3 - embedded port 2,U29_S3_EMB_P2,LAN switch placed at U50 - Ethernet port 5,U50_P5
32,RJ45,Scalable server placed at U29 - slot 4 - embedded port 2,U29_S4_EMB_P2,LAN switch placed at U50 - Ethernet port 6,U50_P6
33,ib-cable,Server placed at U34 - Infiniband port 1,U34_IB_P1,Infiniband switch placed at U44 - port 5,U44_P5
34,ib-cable,Server placed at U34 - Infiniband port 3,U34_IB_P3,Infiniband switch placed at U44 - port 6,U44_P6
35,ib-cable,Server placed at U34 - Infiniband port 2,U34_IB_P2,Infiniband switch placed at U45 - port 5,U45_P5
36,ib-cable,Server placed at U34 - Infiniband port 4,U34_IB_P4,Infiniband switch placed at U45 - port 6,U45_P6
37,fc-cable,Server placed at U34 - FC port 1,U34_FC_P1,SAN switch placed at U46 - FC port 7,U46_P7
38,fc-cable,Server placed at U34 - FC port 3,U34_FC_P3,SAN switch placed at U46 - FC port 8,U46_P8
39,fc-cable,Server placed at U34 - FC port 2,U34_FC_P2,SAN switch placed at U47 - FC port 7,U47_P7
40,fc-cable,Server placed at U34 - FC port 4,U34_FC_P4,SAN switch placed at U47 - FC port 8,U47_P8
41,RJ45,Server placed at U34 - embedded port 1,U34_EMB_P1,LAN switch placed at U49 - Ethernet port 7,U49_P7
42,RJ45,Server placed at U34 - Ethernet port 1,U34_ETH_P1,LAN switch placed at U49 - Ethernet port 8,U49_P8
43,RJ45,Server placed at U34 - embedded port 2,U34_EMB_P2,LAN switch placed at U50 - Ethernet port 7,U50_P7
44,RJ45,Server placed at U34 - Ethernet port 2,U34_ETH_P2,LAN switch placed at U50 - Ethernet port 8,U50_P8
45,ib-cable,Server placed at U38 - Infiniband port 1,U38_IB_P1,Infiniband switch placed at U44 - port 7,U44_P7
46,ib-cable,Server placed at U38 - Infiniband port 3,U38_IB_P3,Infiniband switch placed at U44 - port 8,U44_P8
47,ib-cable,Server placed at U38 - Infiniband port 2,U38_IB_P2,Infiniband switch placed at U45 - port 7,U45_P7
48,ib-cable,Server placed at U38 - Infiniband port 4,U38_IB_P4,Infiniband switch placed at U45 - port 8,U45_P8
49,fc-cable,Server placed at U38 - FC port 1,U38_FC_P1,SAN switch placed at U46 - FC port 9,U46_P9
50,fc-cable,Server placed at U38 - FC port 3,U38_FC_P3,SAN switch placed at U46 - FC port 10,U46_P10
51,fc-cable,Server placed at U38 - FC port 2,U38_FC_P2,SAN switch placed at U47 - FC port 9,U47_P9
52,fc-cable,Server placed at U38 - FC port 4,U38_FC_P4,SAN switch placed at U47 - FC port 10,U47_P10
53,RJ45,Server placed at U38 - embedded port 1,U38_EMB_P1,LAN switch placed at U49 - Ethernet port 9,U49_P9
54,RJ45,Server placed at U38 - Ethernet port 1,U38_ETH_P1,LAN switch placed at U49 - Ethernet port 10,U49_P10
55,RJ45,Server placed at U38 - embedded port 2,U38_EMB_P2,LAN switch placed at U50 - Ethernet port 9,U50_P9
56,RJ45,Server placed at U38 - Ethernet port 2,U38_ETH_P2,LAN switch placed at U50 - Ethernet port 10,U50_P10
